City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Nishihara,JP,26.1842,127.7558,76.68,97,75,10.36,broken clouds
201,Solikamsk,RU,59.6196,56.7729,37.69,99,95,2.89,overcast clouds
202,Belmonte,BR,-15.8631,-38.8828,78.28,84,1,7.34,clear sky
203,Pitkyaranta,RU,61.5734,31.4792,27.12,78,8,2.1,clear sky
204,Klaksvik,FO,62.2266,-6.589,45.52,75,96,6.78,overcast clouds
205,Lasa,IT,46.6166,10.7002,50.88,78,3,2.57,clear sky
206,Ayr,GB,55.4627,-4.6339,49.32,71,0,11.5,clear sky
207,Segovia,ES,41.1667,-4.0,48.43,86,100,6.76,overcast clouds
208,Awassa,ET,7.05,38.4667,63.36,80,96,4.52,light rain
209,Langxiang,CN,46.95,128.8833,30.76,82,7,3.58,clear sky
210,Byron Bay,AU,-28.65,153.6167,60.71,85,58,6.42,broken clouds
211,Helong,CN,42.5397,128.9972,36.95,42,54,4.59,broken clouds
212,Kholodnyy,RU,62.7167,147.95,2.95,96,96,5.75,overcast clouds
213,Mount Isa,AU,-20.7333,139.5,67.77,100,75,4.61,broken clouds
214,Tiksi,RU,71.6872,128.8694,-2.25,100,100,3.53,overcast clouds
215,Mahebourg,MU,-20.4081,57.7,73.26,94,20,4.61,few clouds
216,Chernyshevskiy,RU,63.0128,112.4714,10.47,97,69,2.59,broken clouds
217,Coihaique,CL,-45.5752,-72.0662,42.75,49,40,6.91,scattered clouds
218,Saskylakh,RU,71.9167,114.0833,-3.39,100,95,2.64,overcast clouds
219,Portalegre,PT,39.2938,-7.4312,49.86,87,62,5.64,broken clouds
220,Ostrow Mazowiecka,PL,52.8024,21.8951,43.63,67,80,7.05,broken clouds
221,Pervomaysk,UA,48.0443,30.8507,55.65,60,99,6.33,overcast clouds
222,Bairnsdale,AU,-37.8333,147.6167,55.06,95,69,2.75,broken clouds
223,Roebourne,AU,-20.7833,117.1333,76.98,60,97,8.16,overcast clouds
224,San Patricio,US,28.017,-97.5169,84.07,56,75,13.62,broken clouds
225,Berlevag,NO,70.8578,29.0864,26.55,80,75,31.07,light snow
226,Sumbe,AO,-11.2061,13.8437,76.78,89,76,6.04,broken clouds
227,Namibe,AO,-15.1961,12.1522,72.01,79,0,4.14,clear sky
228,Bilma,NE,18.6853,12.9164,90.68,9,0,7.56,clear sky
229,Rodrigues Alves,BR,-7.738,-72.6509,91.6,79,100,3.13,overcast clouds
230,Inhambane,MZ,-23.865,35.3833,69.28,71,4,9.22,clear sky
231,Dolores,AR,-36.3132,-57.6792,62.44,51,0,4.9,clear sky
232,Whitehorse,CA,60.7161,-135.0538,44.02,85,75,3.44,light rain
233,Esperance,AU,-33.8667,121.9,57.04,83,99,13.31,overcast clouds
234,Brae,GB,60.3964,-1.353,44.2,68,97,8.34,overcast clouds
235,Mahbubabad,IN,17.6167,80.0167,85.82,45,6,6.91,clear sky
236,Haines Junction,CA,60.7522,-137.5108,42.75,61,82,8.05,broken clouds
237,Saldanha,ZA,-33.0117,17.9442,57.25,74,5,12.86,clear sky
238,Beisfjord,NO,68.3751,17.5988,30.25,96,100,6.67,light snow
239,Esmeraldas,BR,-19.7625,-44.3139,80.71,46,0,6.24,clear sky
240,Mandalgovi,MN,45.7625,106.2708,39.52,35,85,4.52,overcast clouds
241,Sisimiut,GL,66.9395,-53.6735,32.95,99,100,18.61,snow
242,Vao,NC,-22.6667,167.4833,74.08,73,100,21.32,moderate rain
243,Sorland,NO,67.667,12.6934,35.46,72,100,15.84,overcast clouds
244,Yulara,AU,-25.2406,130.9889,69.64,43,100,0.0,overcast clouds
245,La Ronge,CA,55.1001,-105.2842,46.65,39,75,16.11,broken clouds
246,Provideniya,RU,64.3833,-173.3,28.85,83,69,6.08,broken clouds
247,Juneau,US,58.3019,-134.4197,42.8,94,100,8.05,mist
248,Litein,KE,-0.5823,35.1903,56.55,99,100,1.34,light rain
249,Tandalti,SD,13.0167,31.8667,87.82,8,55,11.63,broken clouds
250,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,85,20,14.97,few clouds
251,Kieta,PG,-6.2167,155.6333,79.34,84,98,0.72,light rain
252,Tuatapere,NZ,-46.1333,167.6833,44.35,93,38,3.74,scattered clouds
253,Henties Bay,NA,-22.116,14.2845,63.86,72,4,2.68,clear sky
254,Havoysund,NO,70.9963,24.6622,26.83,65,100,28.5,light snow
255,Salvador,SV,13.8333,-88.9167,89.06,32,54,2.64,broken clouds
256,Arman,RU,59.7,150.1667,22.48,69,100,15.68,overcast clouds
257,Oranjemund,NA,-28.55,16.4333,60.46,66,0,5.57,clear sky
258,Babu,CN,24.4167,111.5167,74.03,95,3,3.27,clear sky
259,Raahe,FI,64.6833,24.4833,28.49,80,67,10.33,broken clouds
260,Aksu,CN,41.1231,80.2644,57.61,43,89,1.63,overcast clouds
261,Narsaq,GL,60.9167,-46.05,52.02,88,100,2.91,overcast clouds
262,Jumla,NP,29.2747,82.1838,52.43,50,0,4.25,clear sky
263,Nueve De Julio,AR,-35.4444,-60.8831,65.95,29,0,5.93,clear sky
264,Tarakan,ID,3.3,117.6333,78.39,86,100,3.67,overcast clouds
265,Pisco,PE,-13.7,-76.2167,68.05,77,0,6.91,clear sky
266,Verkhnyaya Inta,RU,65.9811,60.3094,25.54,81,100,8.3,light snow
267,Sao Filipe,CV,14.8961,-24.4956,72.25,72,1,13.67,clear sky
268,Toamasina,MG,-18.1667,49.3833,75.25,91,92,3.04,light rain
269,General Roca,AR,-39.0333,-67.5833,55.62,28,100,32.08,overcast clouds
270,Upata,VE,8.0086,-62.3989,78.94,77,100,2.08,overcast clouds
271,Clyde River,CA,70.4692,-68.5914,8.83,66,75,11.5,broken clouds
272,Jizan,SA,17.3333,42.6667,86.94,46,0,5.82,clear sky
273,Mugur-Aksy,RU,50.35,90.5,24.42,69,7,4.36,clear sky
274,Keuruu,FI,62.2667,24.7,30.38,78,33,3.91,scattered clouds
275,Porto Santo,PT,33.072,-16.3415,62.98,72,20,10.36,few clouds
276,La Asuncion,VE,11.0333,-63.8628,78.69,81,100,6.35,overcast clouds
277,Bad Langensalza,DE,51.1,10.65,52.05,100,36,2.21,scattered clouds
278,Najran,SA,17.4924,44.1277,81.25,23,13,4.41,few clouds
279,Port Augusta,AU,-32.5,137.7667,65.43,72,100,8.12,overcast clouds
280,Isangel,VU,-19.55,169.2667,76.57,78,100,13.35,overcast clouds
281,Kanakapura,IN,12.55,77.4167,80.67,40,4,3.76,clear sky
282,Deputatskiy,RU,69.3,139.9,4.62,98,100,1.01,overcast clouds
283,Silver City,US,32.7701,-108.2803,80.56,10,40,21.0,scattered clouds
284,Eirunepe,BR,-6.6603,-69.8736,86.97,61,86,2.24,overcast clouds
285,Goure,NE,13.9835,10.2704,89.49,10,93,5.97,overcast clouds
286,Fonte Boa,BR,-2.4959,-66.2662,88.05,60,56,0.4,broken clouds
287,Luderitz,NA,-26.6481,15.1594,65.32,52,0,5.95,clear sky
288,Souillac,MU,-20.5167,57.5167,71.98,94,20,4.61,few clouds
289,Urumqi,CN,43.801,87.6005,52.75,58,0,6.71,clear sky
290,Yuli,NG,9.6989,10.2744,87.04,36,97,5.39,overcast clouds
291,Turukhansk,RU,65.8167,87.9833,32.94,98,100,20.36,snow
292,Kloulklubed,PW,7.0419,134.2556,73.9,80,100,18.81,overcast clouds
293,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,6.91,light snow
294,Grindavik,IS,63.8424,-22.4338,45.07,81,75,8.05,broken clouds
295,Vallenar,CL,-28.5708,-70.7581,77.11,26,0,6.06,clear sky
296,Tezu,IN,27.9167,96.1667,69.22,67,61,4.27,broken clouds
297,Hue,VN,16.4667,107.6,78.91,94,20,1.14,few clouds
298,Lincoln,US,40.8,-96.667,82.0,35,0,9.22,clear sky
299,Doha,QA,25.2867,51.5333,82.38,59,0,3.44,clear sky
300,Ambalavao,MG,-21.8333,46.9333,62.89,94,80,3.11,broken clouds
301,Hambantota,LK,6.1241,81.1185,81.57,80,35,4.99,scattered clouds
302,Krasnomayskiy,RU,57.6194,34.4099,30.42,81,55,3.56,broken clouds
303,Tiznit,MA,29.5833,-9.5,60.84,71,1,4.16,clear sky
304,Bima,ID,-8.4667,118.7167,73.36,87,100,1.79,overcast clouds
305,Kodiak,US,57.79,-152.4072,45.91,76,0,8.05,clear sky
306,Kavaratti,IN,10.5669,72.642,84.6,77,32,6.4,scattered clouds
307,Taoudenni,ML,22.6783,-3.9836,86.34,12,0,7.18,clear sky
308,Sur,OM,22.5667,59.5289,88.74,41,0,9.1,clear sky
309,Kudahuvadhoo,MV,2.6708,72.8944,84.06,74,100,6.17,overcast clouds
310,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.67,64,94,1.39,overcast clouds
311,Chokurdakh,RU,70.6333,147.9167,11.48,95,99,7.2,overcast clouds
312,Itarema,BR,-2.9248,-39.9167,79.92,81,95,11.86,overcast clouds
313,Belaya Gora,RU,68.5333,146.4167,9.54,94,100,5.26,overcast clouds
